# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/WPhi
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/WPhi
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/WPhi
Title=seedALL
XLabel=
YLabel=
yodamerge_scale= 1.00000000e+00
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e-01	5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e-01	7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.539822e-01	1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.005310e+00	1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.256637e+00	1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.507964e+00	1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.759292e+00	2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.010619e+00	2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.261947e+00	2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e+00	2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.764602e+00	3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.015929e+00	3.267256e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.267256e+00	3.518584e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.518584e+00	3.769911e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.769911e+00	4.021239e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.021239e+00	4.272566e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.272566e+00	4.523893e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.523893e+00	4.775221e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.775221e+00	5.026548e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e+00	5.277876e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.277876e+00	5.529203e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.529203e+00	5.780530e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.780530e+00	6.031858e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.031858e+00	6.283185e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

