# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DipoleShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DipoleShower_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
Title=combined lepton channels
RatioPlotReference=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$y_{\text{boost}}$
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}y_{\text{boost}}}$ [pb]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1404878_custom/d17-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.368580e+01	6.957464e+00	6.903950e+00
1.000000e-01	2.000000e-01	3.311430e+01	6.874900e+00	6.836186e+00
2.000000e-01	3.000000e-01	3.145440e+01	6.746644e+00	6.734072e+00
3.000000e-01	4.000000e-01	3.012680e+01	6.504550e+00	6.493412e+00
4.000000e-01	5.000000e-01	2.829980e+01	5.822610e+00	5.866715e+00
5.000000e-01	6.000000e-01	2.552530e+01	5.357160e+00	5.346961e+00
6.000000e-01	7.000000e-01	2.264700e+01	4.920719e+00	4.868689e+00
7.000000e-01	8.000000e-01	1.995730e+01	4.244309e+00	4.260454e+00
8.000000e-01	9.000000e-01	1.705750e+01	3.424366e+00	3.431859e+00
9.000000e-01	1.000000e+00	1.364350e+01	2.887453e+00	2.837209e+00
1.000000e+00	1.100000e+00	1.111390e+01	2.398777e+00	2.396115e+00
1.100000e+00	1.200000e+00	8.725570e+00	1.738623e+00	1.678638e+00
1.200000e+00	1.300000e+00	6.761050e+00	1.377403e+00	1.378144e+00
1.300000e+00	1.400000e+00	4.966550e+00	1.024540e+00	1.006075e+00
1.400000e+00	1.500000e+00	3.559080e+00	7.006089e-01	6.885703e-01
1.500000e+00	2.000000e+00	1.013350e+00	2.121696e-01	2.142018e-01
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DipoleShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DipoleShower_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DipoleShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DipoleShower_2M.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
ScaledBy=0.007018681334987331
Title=Herwig_8TeV_MMHT2014_mu86GeV_DipoleShower_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.750221e+01	1.600960e-01	1.600960e-01
1.000000e-01	2.000000e-01	1.756257e+01	1.590223e-01	1.590223e-01
2.000000e-01	3.000000e-01	1.720088e+01	1.585354e-01	1.585354e-01
3.000000e-01	4.000000e-01	1.617250e+01	1.505578e-01	1.505578e-01
4.000000e-01	5.000000e-01	1.546543e+01	1.500124e-01	1.500124e-01
5.000000e-01	6.000000e-01	1.433332e+01	1.449091e-01	1.449091e-01
6.000000e-01	7.000000e-01	1.326896e+01	1.387306e-01	1.387306e-01
7.000000e-01	8.000000e-01	1.172887e+01	1.295606e-01	1.295606e-01
8.000000e-01	9.000000e-01	1.016598e+01	1.196992e-01	1.196992e-01
9.000000e-01	1.000000e+00	8.882225e+00	1.143835e-01	1.143835e-01
1.000000e+00	1.100000e+00	7.411356e+00	1.052802e-01	1.052802e-01
1.100000e+00	1.200000e+00	6.029852e+00	9.415159e-02	9.415159e-02
1.200000e+00	1.300000e+00	4.595644e+00	8.235094e-02	8.235094e-02
1.300000e+00	1.400000e+00	3.303054e+00	7.100675e-02	7.100675e-02
1.400000e+00	1.500000e+00	2.576262e+00	6.364559e-02	6.364559e-02
1.500000e+00	2.000000e+00	7.545148e-01	1.565797e-02	1.565797e-02
# END HISTO1D

