# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/pt_lepton
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/pt_lepton
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/RZG-ATLAS_2015_I1404878_custom/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M/Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M.yoda/ATLAS_2015_I1404878_custom/pt_lepton
Title=Herwig_8TeV_MSTW2008_mu86GeV_DefaultShower_mT172.5_251.659pb_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	2.055400e+03	7.168333e+00	7.168333e+00
4.000000e+01	8.000000e+01	3.125800e+03	8.839966e+00	8.839966e+00
8.000000e+01	1.200000e+02	1.039125e+03	5.096874e+00	5.096874e+00
1.200000e+02	1.600000e+02	3.494750e+02	2.955821e+00	2.955821e+00
1.600000e+02	2.000000e+02	1.319250e+02	1.816074e+00	1.816074e+00
2.000000e+02	2.400000e+02	5.730000e+01	1.196871e+00	1.196871e+00
2.400000e+02	2.800000e+02	2.912500e+01	8.533024e-01	8.533024e-01
2.800000e+02	3.200000e+02	1.872500e+01	6.841966e-01	6.841966e-01
3.200000e+02	3.600000e+02	1.240000e+01	5.567764e-01	5.567764e-01
3.600000e+02	4.000000e+02	9.550000e+00	4.886205e-01	4.886205e-01
# END HISTO1D

